Respondent,MainBranch,Hobbyist,Age,Age1stCode,CompFreq,ConvertedComp,Country,CurrencyDesc,CurrencySymbol,DatabaseDesireNextYear,DatabaseWorkedWith,DevType,EdLevel,Employment,Ethnicity,Gender,JobFactors,JobSat,JobSeek,LanguageDesireNextYear,LanguageWorkedWith,MiscTechDesireNextYear,MiscTechWorkedWith,NEWCollabToolsDesireNextYear,NEWCollabToolsWorkedWith,NEWDevOps,NEWDevOpsImpt,NEWEdImpt,NEWJobHunt,NEWJobHuntResearch,NEWLearn,NEWOffTopic,NEWOnboardGood,NEWOtherComms,NEWOvertime,NEWPurchaseResearch,NEWPurpleLink,NEWSOSites,NEWStuck,OpSys,OrgSize,PlatformDesireNextYear,PlatformWorkedWith,PurchaseWhat,Sexuality,SOAccount,SOComm,SOPartFreq,SOVisitFreq,SurveyEase,SurveyLength,Trans,UndergradMajor,WebframeDesireNextYear,WebframeWorkedWith,WelcomeChange,WorkWeekHrs,YearsCode,YearsCodePro
896,I am a developer by profession,Yes,30.0,12,Yearly,75669.0,Germany,European Euro,EUR,DynamoDB;Elasticsearch;PostgreSQL,Elasticsearch;Oracle;PostgreSQL,DevOps specialist,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,White or of European descent,Man,Industry that I’d be working in;How widely used or impactful my work output would be;Office environment or company culture,Slightly dissatisfied,"I’m not actively looking, but I am open to new opportunities",HTML/CSS;Java;Python;SQL;TypeScript,Java,Teraform,,Confluence;Jira;Github;Microsoft Teams,Confluence;Jira;Github;Microsoft Teams,Yes,Extremely important,Very important,Just because;Having a bad day (or week or month) at work;Better compensation;Trouble with my teammates;Trouble with my direct manager;Trouble with leadership at my company;Better work/life balance;Wanting to work with new technologies,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind)",Once a year,No,Yes,Yes,Often: 1-2 days per week or more,Start a free trial;Ask developers I know/work with,Annoyed,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Play games;Visit Stack Overflow;Do other work and come back later,Windows,"10,000 or more employees",AWS;Docker;Kubernetes,Android;AWS;Docker;Kubernetes;Windows,I have some influence,Straight / Heterosexual,Yes,"Yes, somewhat",Less than once per month or monthly,Multiple times per day,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",Angular;Spring,Angular;Spring,Somewhat more welcome now than last year,50.0,18,10
897,"I am not primarily a developer, but I write code sometimes as part of my work",Yes,27.0,16,,,United States,European Euro,,,,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Student,South Asian,Man,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Office environment or company culture",,I am actively looking for a job,Python;R;SQL,HTML/CSS;SQL,,TensorFlow,Microsoft Teams,"Microsoft Teams;Google Suite (Docs, Meet, etc)",,,,,"Read company media, such as employee blogs or company culture videos;Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company",Once a year,Not sure,,No,,Start a free trial,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Visit Stack Overflow,Windows,,,,,,Yes,"Yes, somewhat",Daily or almost daily,Daily or almost daily,Neither easy nor difficult,Appropriate in length,No,,,,Just as welcome now as I felt last year,,4,
898,I am a developer by profession,Yes,37.0,,Monthly,,Afghanistan,Australian dollar,AUD,,,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,"Indigenous (such as Native American, Pacific Islander, or Indigenous Australian)","Non-binary, genderqueer, or gender non-conforming",Flex time or a flexible schedule,Slightly dissatisfied,"I’m not actively looking, but I am open to new opportunities",,,,,,,Yes,Somewhat important,Very important,Trouble with leadership at my company,Directly asking current or past employees at the company,,,No,Yes,Sometimes: 1-2 days per month but less than weekly,,Indifferent,Stack Overflow Talent (for hiring companies/recruiters),Visit another developer community (please name):,,10 to 19 employees,,,I have some influence,Gay or Lesbian,,,,,Neither easy nor difficult,Appropriate in length,No,"A natural science (such as biology, chemistry, physics, etc.)",,,,,4,3
899,I am a developer by profession,Yes,37.0,14,Yearly,53700.0,Croatia,Croatian kuna,HRK,Elasticsearch;Firebase;PostgreSQL;Redis,Elasticsearch;Firebase;PostgreSQL;Redis,"Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Independent contractor, freelancer, or self-employed",White or of European descent,Man,"Languages, frameworks, and other technologies I’d be working with;Remote work options;How widely used or impactful my work output would be",Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Bash/Shell/PowerShell;Java;SQL,Bash/Shell/PowerShell;HTML/CSS;Java;Kotlin;SQL,,,"Github;Google Suite (Docs, Meet, etc)","Jira;Github;Slack;Google Suite (Docs, Meet, etc)",Yes,Somewhat important,Not at all important/not necessary,Curious about other opportunities;Wanting to work with new technologies,"Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company",Once every few years,No,Yes,Yes,Rarely: 1-2 days per year or less,Start a free trial;Ask developers I know/work with,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later,Linux-based,"Just me - I am a freelancer, sole proprietor, etc.",Docker;Linux,Docker;Linux,,Straight / Heterosexual,Yes,"Yes, somewhat",Less than once per month or monthly,Daily or almost daily,Easy,Appropriate in length,No,"Another engineering discipline (such as civil, electrical, mechanical, etc.)",Spring,Spring,Just as welcome now as I felt last year,40.0,23,11
900,"I am not primarily a developer, but I write code sometimes as part of my work",Yes,32.0,11,Yearly,59454.0,Germany,European Euro,EUR,,,Academic researcher;Data scientist or machine learning specialist,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,White or of European descent,Man,"Industry that I’d be working in;Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with",Slightly satisfied,I am not interested in new job opportunities,C++;Julia;Python;Rust,Bash/Shell/PowerShell;C;C++;Python;Rust,Pandas;TensorFlow;Torch/PyTorch,Pandas;TensorFlow;Torch/PyTorch,"Github;Gitlab;Slack;Google Suite (Docs, Meet, etc)","Github;Gitlab;Slack;Google Suite (Docs, Meet, etc)",Not sure,Somewhat important,Very important,Better compensation;Wanting to work with new technologies;Looking to relocate,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);Personal network - friends or family;Directly asking current or past employees at the company",Once every few years,No,Onboarding? What onboarding?,Yes,Occasionally: 1-2 days per quarter but less than monthly,Start a free trial;Ask developers I know/work with,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers);Stack Overflow for Teams (private Q&A for organizations),Call a coworker or friend;Go for a walk or other physical activity;Panic;Do other work and come back later,Linux-based,100 to 499 employees,Linux;MacOS,Linux;MacOS;Windows,I have some influence,Straight / Heterosexual,Yes,"Yes, definitely",A few times per month or weekly,Multiple times per day,Neither easy nor difficult,Too short,No,"Computer science, computer engineering, or software engineering",,,Somewhat less welcome now than last year,39.0,20,10
901,I am a developer by profession,Yes,29.0,15,Yearly,109179.0,Ireland,European Euro,EUR,,MongoDB,"Developer, back-end","Other doctoral degree (Ph.D., Ed.D., etc.)",Employed full-time,White or of European descent,Man,Flex time or a flexible schedule;Remote work options;Office environment or company culture,Very satisfied,I am not interested in new job opportunities,Bash/Shell/PowerShell;C;JavaScript;Rust;Scala,Bash/Shell/PowerShell;Java;R;Scala,,Apache Spark;Hadoop,,Github;Gitlab,,,Somewhat important,Curious about other opportunities;Better compensation;Trouble with leadership at my company;Better work/life balance;Wanting to work with new technologies;Growth or leadership opportunities;Looking to relocate,"Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company",Once every few years,Not sure,Yes,Yes,Occasionally: 1-2 days per quarter but less than monthly,,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Visit Stack Overflow;Watch help / tutorial videos;Do other work and come back later,MacOS,"10,000 or more employees",AWS;Docker;Kubernetes;Linux;MacOS,Docker;Linux;MacOS;Raspberry Pi;Windows,I have little or no influence,Straight / Heterosexual,Yes,"Yes, definitely",A few times per month or weekly,Multiple times per day,Neither easy nor difficult,Too long,No,"A natural science (such as biology, chemistry, physics, etc.)",,,Somewhat more welcome now than last year,35.0,10,3
902,I am a developer by profession,No,27.0,16,Monthly,6156.0,Egypt,Egyptian pound,EGP,MySQL,Firebase;MySQL,"Designer;Developer, front-end;Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Middle Eastern,Man,Flex time or a flexible schedule;Financial performance or funding status of the company or organization;Opportunities for professional development,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",C#;HTML/CSS;JavaScript;PHP;SQL,Assembly;C#;HTML/CSS;JavaScript;PHP;SQL,.NET;React Native;Unity 3D;Unreal Engine,.NET;Cordova,,Github;Facebook Workplace;Slack,No,Somewhat important,Critically important,Curious about other opportunities;Better compensation;Better work/life balance;Wanting to work with new technologies;Growth or leadership opportunities;Looking to relocate,"Company reviews from third party sites (e.g. Glassdoor, Blind);Read other media like news articles, founder profiles, etc. about the company",Every few months,Not sure,Onboarding? What onboarding?,Yes,Rarely: 1-2 days per year or less,Start a free trial;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Meditate;Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos;Do other work and come back later,Windows,100 to 499 employees,Windows,Android;Arduino;Linux;Windows;WordPress,I have a great deal of influence,Straight / Heterosexual,Yes,"Yes, definitely",Daily or almost daily,Multiple times per day,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",Angular;Angular.js;ASP.NET;ASP.NET Core;jQuery;React.js;Vue.js,ASP.NET;jQuery,A lot more welcome now than last year,40.0,10,4
903,I am a developer by profession,No,47.0,10,Monthly,1000000.0,United Kingdom,Pound sterling,GBP,,,Senior executive/VP,"Other doctoral degree (Ph.D., Ed.D., etc.)","Independent contractor, freelancer, or self-employed",White or of European descent,Man,,Very satisfied,"I’m not actively looking, but I am open to new opportunities",C;C++;Java;Python;VBA,C;C++;Java;Python;VBA,,,Confluence,,No,Neutral,Critically important,,,Once every few years,Yes,Yes,No,Rarely: 1-2 days per year or less,Ask developers I know/work with;Visit developer communities like Stack Overflow,Indifferent,Stack Overflow (public Q&A for anyone who codes),,Windows,20 to 99 employees,Linux;Windows,Linux;Windows,,Straight / Heterosexual,Yes,"Yes, definitely",Multiple times per day,Multiple times per day,Easy,Appropriate in length,No,Mathematics or statistics,,,Just as welcome now as I felt last year,45.0,36,23
904,I am a developer by profession,Yes,36.0,12,Yearly,,United States,United States dollar,USD,Elasticsearch;Redis,IBM DB2;Microsoft SQL Server;Oracle;PostgreSQL,"Data or business analyst;Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,White or of European descent,Man,"Languages, frameworks, and other technologies I’d be working with;Specific department or team I’d be working on;Office environment or company culture",Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",C;C#;Perl;R,Bash/Shell/PowerShell;HTML/CSS;JavaScript;Python;SQL,Hadoop;Unity 3D;Unreal Engine,Node.js;Pandas,,"Confluence;Jira;Github;Slack;Microsoft Teams;Microsoft Azure;Google Suite (Docs, Meet, etc)",Yes,Somewhat important,Fairly important,Trouble with leadership at my company;Better work/life balance;Wanting to work with new technologies;Growth or leadership opportunities,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family",Once a year,No,Yes,No,Often: 1-2 days per week or more,,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Play games;Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Panic;Watch help / tutorial videos;Do other work and come back later,Windows,"1,000 to 4,999 employees",Microsoft Azure;Raspberry Pi;Slack Apps and Integrations,AWS;Linux;Microsoft Azure;Windows;WordPress,I have little or no influence,Straight / Heterosexual,Not sure/can't remember,"No, not really",,Daily or almost daily,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",Angular;React.js,Django;Drupal;Flask,Just as welcome now as I felt last year,45.0,24,16
905,"I am not primarily a developer, but I write code sometimes as part of my work",Yes,33.0,12,Yearly,68068.0,Canada,Canadian dollar,CAD,Elasticsearch;Firebase;MongoDB;MySQL;PostgreSQL;Redis,MariaDB;MongoDB;MySQL,"Data or business analyst;Database administrator;DevOps specialist;Engineer, data;Marketing or sales professional;System administrator","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,White or of European descent,Man,Industry that I’d be working in;Flex time or a flexible schedule;Office environment or company culture,Slightly dissatisfied,"I’m not actively looking, but I am open to new opportunities",Bash/Shell/PowerShell;Go;Java;JavaScript;Python;R;Scala;SQL,Bash/Shell/PowerShell;Python;SQL,Ansible;Apache Spark;Pandas;TensorFlow;Torch/PyTorch,Ansible;Pandas,Confluence;Jira;Gitlab,"Confluence;Jira;Gitlab;Google Suite (Docs, Meet, etc)",Yes,Extremely important,Somewhat important,Having a bad day (or week or month) at work;Curious about other opportunities;Better compensation;Better work/life balance;Growth or leadership opportunities,"Publicly available financial information (e.g. Crunchbase);Read other media like news articles, founder profiles, etc. about the company",Once a year,Yes,Yes,No,Occasionally: 1-2 days per quarter but less than monthly,Ask developers I know/work with;Visit developer communities like Stack Overflow,Amused,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Visit Stack Overflow;Go for a walk or other physical activity;Panic;Do other work and come back later,Linux-based,20 to 99 employees,Docker;Google Cloud Platform;Heroku;Kubernetes;Linux,Docker;Google Cloud Platform;Heroku;Kubernetes;Linux,I have some influence,Straight / Heterosexual,Yes,"No, not really",Less than once per month or monthly,A few times per week,Easy,Appropriate in length,No,"A social science (such as anthropology, psychology, political science, etc.)",Angular;Flask;Spring,Flask;Spring,Just as welcome now as I felt last year,35.0,10,9
